execution_location,protocol,requests,command,session,print_to_screen,write_to_file,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
local,TCP,15000,INFO,0,False,0,658.852,0.044,0.026,0.261,0.008,,0
local,TCP,15000,INFO,0,False,0,669.752,0.045,0.023,0.178,0.008,,0
local,TCP,15000,INFO,0,False,0,687.132,0.046,-0.526,0.253,0.012,,0
local,TCP,15000,INFO,0,False,0,686.464,0.046,0.025,0.33,0.011,,0
local,TCP,15000,INFO,0,False,0,667.678,0.045,0.026,0.272,0.011,,0
local,TCP,15000,INFO,0,False,0,661.019,0.044,0.026,0.325,0.01,,0
local,TCP,15000,INFO,0,False,0,672.875,0.045,0.024,0.283,0.012,,0
local,TCP,15000,INFO,0,False,0,680.346,0.045,0.025,0.324,0.012,,0
local,TCP,15000,INFO,0,False,0,684.129,0.046,0.025,0.233,0.01,,0
