execution_location,protocol,requests,command,session,print_to_screen,write_to_file,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
local,TCP,15000,INFO,0,True,0,697.344,0.046,0.027,0.342,0.011,,0
local,TCP,15000,INFO,0,True,0,737.857,0.049,0.029,0.326,0.014,,0
local,TCP,15000,INFO,0,True,0,722.851,0.048,0.028,0.264,0.012,,0
