execution_location,requests,command,keep,print_written,file_written,verbose,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
local,10,INFO,0,,,False,0.695,0.07,0.052,0.157,0.034,,0
local,10,INFO,0,,,False,0.677,0.068,0.055,0.159,0.032,,0
