execution_location,protocol,requests,command,session,print_to_screen,write_to_file,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
local,TCP,15000,INFO,1,False,0,866.569,0.058,0.037,0.351,0.017,,0
local,TCP,15000,INFO,1,False,0,874.324,0.058,0.033,0.324,0.018,,0
local,TCP,15000,INFO,1,False,0,866.27,0.058,0.033,0.338,0.017,,0
local,TCP,15000,INFO,1,False,0,857.074,0.057,0.034,0.365,0.018,,0
local,TCP,15000,INFO,1,False,0,909.173,0.061,0.039,0.35,0.017,,0
local,TCP,15000,INFO,1,False,0,887.891,0.059,0.034,0.345,0.02,,0
local,TCP,15000,INFO,1,False,0,891.607,0.059,0.034,0.337,0.017,,0
local,TCP,15000,INFO,1,False,0,887.817,0.059,0.034,0.384,0.017,,0
local,TCP,15000,INFO,1,False,0,855.357,0.057,0.034,0.547,0.018,,0
