execution_location,protocol,requests,command,session,print_to_screen,write_to_file,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
local,TCP,15000,INFO,1,True,0,911.908,0.061,0.036,0.353,0.016,,0
local,TCP,15000,INFO,1,True,0,962.809,0.064,0.036,0.793,0.022,,0
local,TCP,15000,INFO,1,True,0,899.266,0.06,0.037,0.372,0.018,,0
