execution_location,requests,command,keep,print_written,file_written,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
local,10000,INFO,0,True,True,2238.28,0.224,0.174,1.34,0.028,,0
local,10000,INFO,0,True,True,17551.564,1.755,0.171,11.689,1.302,,0
local,10000,INFO,0,True,True,23266.228,2.327,0.167,11.882,1.331,,0
local,10000,INFO,0,True,True,4009.072,0.401,0.183,6.138,0.678,,0
local,10000,INFO,0,True,True,28902.283,2.89,0.176,14.405,1.504,,0
local,10000,INFO,0,True,True,11857.93,1.186,0.18,13.663,1.736,,0
