execution_location,requests,command,keep,print_written,file_written,verbose,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
local,10,INFO,1,,,False,0.463,0.046,0.039,0.077,0.012,,0
local,10,INFO,1,,,False,0.598,0.06,0.047,0.091,0.014,,0
