execution_location,requests,command,keep,print_written,file_written,tempo_de_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,stderr,returncode
docker,10000,INFO,1,True,True,296.376,0.03,0.02,0.159,0.008,"time=""2024-11-30T17:43:53-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-c4288e6a78c7 aula-redes-snmp-tcp-client-run-9a292697d01f aula-redes-snmp-tcp-client-run-8771f28eba2b aula-redes-snmp-tcp-client-run-0112bd2e40d5 aula-redes-snmp-tcp-client-run-772acf8a74ee aula-redes-snmp-tcp-client-run-9df2c0b168d7 aula-redes-snmp-tcp-client-run-12315070afef aula-redes-snmp-tcp-client-run-11cdd058b25e aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,1,True,True,333.514,0.033,0.022,0.193,0.009,"time=""2024-11-30T17:43:55-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-e6c1a31b1b99 aula-redes-snmp-tcp-client-run-c4288e6a78c7 aula-redes-snmp-tcp-client-run-9a292697d01f aula-redes-snmp-tcp-client-run-8771f28eba2b aula-redes-snmp-tcp-client-run-0112bd2e40d5 aula-redes-snmp-tcp-client-run-772acf8a74ee aula-redes-snmp-tcp-client-run-9df2c0b168d7 aula-redes-snmp-tcp-client-run-12315070afef aula-redes-snmp-tcp-client-run-11cdd058b25e aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,1,True,True,257.141,0.026,0.02,1.397,0.015,"time=""2024-11-30T17:44:29-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-b0ec9ac0a1be aula-redes-snmp-tcp-client-run-09984c142e1f aula-redes-snmp-tcp-client-run-1260fab896d0 aula-redes-snmp-tcp-client-run-e6c1a31b1b99 aula-redes-snmp-tcp-client-run-c4288e6a78c7 aula-redes-snmp-tcp-client-run-9a292697d01f aula-redes-snmp-tcp-client-run-8771f28eba2b aula-redes-snmp-tcp-client-run-0112bd2e40d5 aula-redes-snmp-tcp-client-run-772acf8a74ee aula-redes-snmp-tcp-client-run-9df2c0b168d7 aula-redes-snmp-tcp-client-run-12315070afef aula-redes-snmp-tcp-client-run-11cdd058b25e aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,1,True,True,310.451,0.031,0.021,0.249,0.01,"time=""2024-11-30T17:44:32-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-d3fc22bd0875 aula-redes-snmp-tcp-client-run-b0ec9ac0a1be aula-redes-snmp-tcp-client-run-09984c142e1f aula-redes-snmp-tcp-client-run-1260fab896d0 aula-redes-snmp-tcp-client-run-e6c1a31b1b99 aula-redes-snmp-tcp-client-run-c4288e6a78c7 aula-redes-snmp-tcp-client-run-9a292697d01f aula-redes-snmp-tcp-client-run-8771f28eba2b aula-redes-snmp-tcp-client-run-0112bd2e40d5 aula-redes-snmp-tcp-client-run-772acf8a74ee aula-redes-snmp-tcp-client-run-9df2c0b168d7 aula-redes-snmp-tcp-client-run-12315070afef aula-redes-snmp-tcp-client-run-11cdd058b25e aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,1,True,True,225.646,0.023,0.02,0.914,0.01,"time=""2024-11-30T17:45:16-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-89e08add3a31 aula-redes-snmp-tcp-client-run-a5c5a4145925 aula-redes-snmp-tcp-client-run-b6737e104908 aula-redes-snmp-tcp-client-run-d3fc22bd0875 aula-redes-snmp-tcp-client-run-b0ec9ac0a1be aula-redes-snmp-tcp-client-run-09984c142e1f aula-redes-snmp-tcp-client-run-1260fab896d0 aula-redes-snmp-tcp-client-run-e6c1a31b1b99 aula-redes-snmp-tcp-client-run-c4288e6a78c7 aula-redes-snmp-tcp-client-run-9a292697d01f aula-redes-snmp-tcp-client-run-8771f28eba2b aula-redes-snmp-tcp-client-run-0112bd2e40d5 aula-redes-snmp-tcp-client-run-772acf8a74ee aula-redes-snmp-tcp-client-run-9df2c0b168d7 aula-redes-snmp-tcp-client-run-12315070afef aula-redes-snmp-tcp-client-run-11cdd058b25e aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,1,True,True,312.841,0.031,0.021,0.116,0.009,"time=""2024-11-30T17:45:19-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-c706e2f2b522 aula-redes-snmp-tcp-client-run-89e08add3a31 aula-redes-snmp-tcp-client-run-a5c5a4145925 aula-redes-snmp-tcp-client-run-b6737e104908 aula-redes-snmp-tcp-client-run-d3fc22bd0875 aula-redes-snmp-tcp-client-run-b0ec9ac0a1be aula-redes-snmp-tcp-client-run-09984c142e1f aula-redes-snmp-tcp-client-run-1260fab896d0 aula-redes-snmp-tcp-client-run-e6c1a31b1b99 aula-redes-snmp-tcp-client-run-c4288e6a78c7 aula-redes-snmp-tcp-client-run-9a292697d01f aula-redes-snmp-tcp-client-run-8771f28eba2b aula-redes-snmp-tcp-client-run-0112bd2e40d5 aula-redes-snmp-tcp-client-run-772acf8a74ee aula-redes-snmp-tcp-client-run-9df2c0b168d7 aula-redes-snmp-tcp-client-run-12315070afef aula-redes-snmp-tcp-client-run-11cdd058b25e aula-redes-snmp-tcp-client-run-1b6c5c940e6e aula-redes-snmp-tcp-client-run-d1de66f76edf aula-redes-snmp-tcp-client-run-077c4cf7db75 aula-redes-snmp-tcp-client-run-bcd5b6cb4d6a aula-redes-snmp-udp-server-1 aula-redes-snmp-tcp-server-1 aula-redes-snmp-tcp-server-run-3b1080c1e20b]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
