local_execucao,numero_requisicoes,comando,manter,saiu_na_tela,saiu_no_arquivo,tempo_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,erro_saida,codigo_retorno
local,10000,SNMPWALK,0,True,True,640.987,0.064,0.035,0.372,0.02,,0
local,10000,SNMPWALK,1,True,True,458.831,0.046,0.027,0.242,0.013,,0
docker,10000,INFO,1,True,True,666.492,0.067,0.038,2.746,0.039,"time=""2024-11-26T18:05:05-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,1,True,True,691.711,0.069,0.043,0.363,0.021,"time=""2024-11-26T18:05:08-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-7c8ae6675e31 aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,0,True,True,1118.981,0.112,0.078,7.316,0.081,"time=""2024-11-26T18:05:11-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-bd7a1e88b170 aula-redes-snmp-tcp-client-run-7c8ae6675e31 aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,0,True,True,1088.064,0.109,0.08,0.406,0.022,"time=""2024-11-26T18:05:15-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-bfe4ea2f8faf aula-redes-snmp-tcp-client-run-bd7a1e88b170 aula-redes-snmp-tcp-client-run-7c8ae6675e31 aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
local,10000,INFO,0,True,True,620.06,0.062,0.034,0.316,0.02,,0
local,10000,INFO,1,True,True,488.451,0.049,0.021,0.521,0.02,,0
local,10000,INFO,0,True,True,602.91,0.06,0.036,0.686,0.023,,0
local,10000,INFO,1,True,True,483.591,0.048,0.025,0.274,0.012,,0
docker,10000,INFO,1,True,True,622.777,0.062,0.036,1.42,0.018,"time=""2024-11-26T18:06:16-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-c951ebdfaea9 aula-redes-snmp-tcp-client-run-bfe4ea2f8faf aula-redes-snmp-tcp-client-run-bd7a1e88b170 aula-redes-snmp-tcp-client-run-7c8ae6675e31 aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,1,True,True,662.558,0.066,0.04,0.904,0.021,"time=""2024-11-26T18:06:19-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-b46a1fdac317 aula-redes-snmp-tcp-client-run-c951ebdfaea9 aula-redes-snmp-tcp-client-run-bfe4ea2f8faf aula-redes-snmp-tcp-client-run-bd7a1e88b170 aula-redes-snmp-tcp-client-run-7c8ae6675e31 aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,0,True,True,1082.907,0.108,0.079,1.781,0.031,"time=""2024-11-26T18:06:22-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-46e97125b0e6 aula-redes-snmp-tcp-client-run-b46a1fdac317 aula-redes-snmp-tcp-client-run-c951ebdfaea9 aula-redes-snmp-tcp-client-run-bfe4ea2f8faf aula-redes-snmp-tcp-client-run-bd7a1e88b170 aula-redes-snmp-tcp-client-run-7c8ae6675e31 aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,INFO,0,True,True,1079.09,0.108,0.08,0.374,0.019,"time=""2024-11-26T18:06:26-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-8b72f9965775 aula-redes-snmp-tcp-client-run-46e97125b0e6 aula-redes-snmp-tcp-client-run-b46a1fdac317 aula-redes-snmp-tcp-client-run-c951ebdfaea9 aula-redes-snmp-tcp-client-run-bfe4ea2f8faf aula-redes-snmp-tcp-client-run-bd7a1e88b170 aula-redes-snmp-tcp-client-run-7c8ae6675e31 aula-redes-snmp-tcp-client-run-49c6d7df2532 aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
local,10000,INFO,0,True,True,591.687,0.059,0.032,0.501,0.018,,0
local,10000,INFO,1,True,True,445.974,0.045,-0.978,0.212,0.015,,0
local,10000,INFO,0,True,True,610.044,0.061,0.031,0.321,0.019,,0
local,10000,INFO,1,True,True,465.789,0.047,0.026,0.285,0.012,,0
