local_execucao,numero_requisicoes,comando,manter,saiu_na_tela,saiu_no_arquivo,tempo_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,erro_saida,codigo_retorno
docker,10000,SNMPWALK,0,True,True,1058.763,0.106,0.079,4.01,0.044,"time=""2024-11-26T16:57:04-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,0,True,True,1112.113,0.111,0.067,0.44,0.019,"time=""2024-11-26T16:57:07-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
local,10000,SNMPWALK,0,True,True,585.918,0.059,0.035,0.316,0.019,,0
local,10000,SNMPWALK,1,True,True,468.014,0.047,0.027,0.232,0.012,,0
local,10000,SNMPWALK,0,True,True,658.988,0.066,0.039,0.302,0.018,,0
local,10000,SNMPWALK,1,True,True,502.299,0.05,0.028,0.291,0.013,,0
docker,10000,SNMPWALK,1,True,True,620.488,0.062,0.045,0.22,0.013,"time=""2024-11-26T16:58:31-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,1,True,True,681.739,0.068,0.046,0.321,0.015,"time=""2024-11-26T16:58:34-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,0,True,True,1105.761,0.111,0.081,1.099,0.028,"time=""2024-11-26T16:58:36-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,0,True,True,1141.494,0.114,0.082,0.493,0.022,"time=""2024-11-26T16:58:39-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
